Owning Library,Circulating Library,Parent Org,Shelving Location,Circulation Modifier,Count of Items
Carroll Valley Library,Carroll Valley Library,Adams County Library System,Juvenile Magazine,Serial,76
Carroll Valley Library,Carroll Valley Library,Adams County Library System,Magazine,Serial,136
Gettysburg Library,Gettysburg Library,Adams County Library System,Juvenile Read-Along,Audiobook,1
Gettysburg Library,New Oxford Library,Adams County Library System,New Audiobook,Audiobook,1
Gettysburg Library,Gettysburg Library,Adams County Library System,Audiobook,Book,1
Gettysburg Library,Trone Memorial Library (East Berlin),Adams County Library System,Audiobook,Book,1
Gettysburg Library,Carroll Valley Library,Adams County Library System,Display,Book,1
Gettysburg Library,Carroll Valley Library,Adams County Library System,Juvenile DVD,Book,1
Gettysburg Library,Harbaugh-Thomas Library (Biglerville),Adams County Library System,Juvenile Storage,Book,1
Gettysburg Library,Carroll Valley Library,Adams County Library System,Local History,Book,1
Gettysburg Library,Harbaugh-Thomas Library (Biglerville),Adams County Library System,New Audiobook,Book,1
Gettysburg Library,Littlestown Library,Adams County Library System,New Large Print Nonfiction,Book,1
Gettysburg Library,New Oxford Library,Adams County Library System,New Nonfiction,Book,1
Gettysburg Library,Gettysburg Library,Adams County Library System,New Spanish Fiction,Book,1
Gettysburg Library,Trone Memorial Library (East Berlin),Adams County Library System,Parent-Teacher Collection,Book,1
Gettysburg Library,Trone Memorial Library (East Berlin),Adams County Library System,Reference,Book,1
Gettysburg Library,New Oxford Library,Adams County Library System,Spanish Biography,Book,1
Gettysburg Library,New Oxford Library,Adams County Library System,Young Adult Biography,Book,1
Gettysburg Library,Carroll Valley Library,Adams County Library System,Juvenile Nonfiction,DVD,1
Gettysburg Library,Gettysburg Library,Adams County Library System,Juvenile Nonfiction,DVD,1
Gettysburg Library,Trone Memorial Library (East Berlin),Adams County Library System,Juvenile Storage,DVD,1
Gettysburg Library,Harbaugh-Thomas Library (Biglerville),Adams County Library System,New Blu-ray,DVD,1
Gettysburg Library,Gettysburg Library,Adams County Library System,Early Reader,High Demand Books,1
Gettysburg Library,Littlestown Library,Adams County Library System,Early Reader,High Demand Books,1
Gettysburg Library,Gettysburg Library,Adams County Library System,Easy Board Book,High Demand Books,1
Gettysburg Library,Littlestown Library,Adams County Library System,Easy Board Book,High Demand Books,1
Gettysburg Library,Carroll Valley Library,Adams County Library System,Easy Fiction,High Demand Books,1
Gettysburg Library,New Oxford Library,Adams County Library System,Easy Fiction,High Demand Books,1
Gettysburg Library,Littlestown Library,Adams County Library System,Juvenile Nonfiction,High Demand Books,1
Gettysburg Library,Gettysburg Library,Adams County Library System,Easy Fiction,Kit,1
Gettysburg Library,New Oxford Library,Adams County Library System,Easy Fiction,Kit,1
Gettysburg Library,Gettysburg Library,Adams County Library System,Easy Holiday,Kit,1
Gettysburg Library,Harbaugh-Thomas Library (Biglerville),Adams County Library System,Juvenile Nonfiction,Kit,1
Gettysburg Library,Gettysburg Library,Adams County Library System,Juvenile DVD,Media,1
Gettysburg Library,Harbaugh-Thomas Library (Biglerville),Adams County Library System,Juvenile DVD,Media,1
Gettysburg Library,Carroll Valley Library,Adams County Library System,Juvenile Music CD,Media,1
