"Name","User ID"
"Barrett Paradise Friendly Library System","1"
"Clinton County Libraries","1"
"Dimmick Memorial Library","1"
"Lackawanna County Tech Services","1"
"Monroe County Historical Association","1"
"SPARK Libraries","1"
"Susquehanna County Library","1"
"Eastern Monroe Public Library","2"
"Pocono Mountain Public Library System","2"
"Wayne","5"
"Bethlehem Area Public Library System","6"
"Springettsbury Township","16"
"Easton Area Public Library System","27"
"Manchester Township","38"
"Clearfield County","42"
"Bethlehem Fountain Hill Satellite","63"
"Federated Library System of Bedford County Outreach","77"
"Pike","93"
"Lawrence County Bookmobile","95"
"BCPL - Headquarters","124"
"Monroe County Bookmobile","186"
"Port Carbon Public Library","193"
"Bethlehem Bookmobile","204"
"Hyndman-Londonderry Public Library","225"
"Conemaugh Township Branch","273"
"Bethany Public Library","299"
"Genesee Area Library","313"
"South Fork Public Library","343"
"Carrolltown Public Library","345"
"Friendship Community Library","357"
"RPL - Senior Outreach","399"
"Lilly Washington Public Library","401"
"Hastings Public Library","409"
"Gallitzin Public Library","424"
"Pleasant Mount Library","425"
"York Academy Regional Charter School- Upper School","460"
"Home Delivery","510"
"Renovo Area Library","532"
"Galeton Public Library","555"
"Westfield Public Library","578"
"Ringtown Area Library","592"
"Northern Wayne Community Library","615"
"Claysburg Area Public Library","655"
"Clearfield County Public Library","662"
"Saxton Community Library","668"
"Oswayo Valley Memorial Library","684"
"Somerset County Bookmobile","691"
"York Literacy Institute","702"
"Lincoln Charter School","704"
"Cresson Public Library","726"
"Coplay Public Library","727"
"Dalton Community Library","729"
"Penn-Kidder Branch","729"
"Williamsburg Public Library","738"
"Knoxville Public Library","753"
"Ralpho Township Public Library","779"
"Minersville Public Library","798"
"Nanty Glo Public Library","800"
"Mahanoy City Public Library","833"
"Ulysses Library Association","844"
"Forest City","849"
"Patton Public Library","858"
"RPL - Northwest Branch Library","896"
"Curwensville Public Library","902"
"York Academy Regional Charter School- Lower School ","917"
"Bethlehem Coolidge Branch","922"
"Roaring Spring Community Library","923"
"Northern Cambria Public Library","971"
"Susquehanna","987"
"Hallstead - Great Bend","1005"
"Portage Public Library","1037"
"Ashland Public Library","1065"
"Shenandoah Area Free Public Library","1113"
"Bellwood-Antis Public Library","1176"
"Blossburg Memorial Library","1190"
"Frackville Free Public Library","1196"
"Windber Public Library","1216"
"Robesonia Community Library","1269"
"Newfoundland Area Library","1329"
"Lackawanna County Library System Bookmobile","1345"
"Public Library of Catasauqua","1345"
"Martinsburg Community Library","1412"
"Mansfield Free Public Library","1531"
"Meyersdale Public Library","1544"
"Everett Free Library","1826"
"Slatington Public Library","1940"
"Bernville Area Community Library","2025"
"Bethlehem South Side Branch","2052"
"Arthur Hufnagel Public Library","2057"
"Dimmick Main Library","2076"
"Tyrone-Snyder Public Library","2077"
"RPL - Southeast Branch Library","2135"
"Orwigsburg Area Free Public Library","2161"
"Beaverdale Public Library","2229"
"West Lawn-Wyomissing Hills Library","2239"
"Carroll Valley Library","2256"
"RPL - Northeast Branch","2293"
"FD Campbell Memorial Library","2307"
"Monroe County Correctional Facility","2317"
"Womelsdorf Community Library","2322"
"Brandywine Community Library","2418"
"Schuylkill Valley Community Library","2474"
"Collinsville Community Library","2489"
"Nancy Kay Holmes Branch Library","2500"
"Elkland Area Community Library","2563"
"Village Library of Morgantown","2612"
"Wernersville Public Library","2667"
"Lehighton Area Memorial Library","2739"
"Schuylkill Haven Free Public Library","2783"
"New Oxford Library","2859"
"Bethel Tulpehocken Public Library","2879"
"Littlestown Library","2923"
"Highland Community Library","2935"
"Palmerton Area Library","3003"
"Barrett Paradise Friendly Library","3035"
"Milton Public Library","3071"
"Joseph & Elizabeth Shaw Public Library","3135"
"Harbaugh-Thomas Library (Biglerville)","3153"
"Shamokin Coal Twp Public Library","3158"
"Boone Area Library","3229"
"Green Free Library (Wellsboro)","3232"
"Bedford County Library","3281"
"Hawley Public Library","3282"
"Hamlin Library","3416"
"Hamburg Public Library","3431"
"Sinking Spring Library","3544"
"Tamaqua Public Library","3594"
"Smithfield Branch","3609"
"Ebensburg Public Library","3649"
"Montrose","3753"
"Bangor Public Library","3778"
"Pocono Mountain Public Library","3796"
"Clymer Library","3838"
"DuBois Public Library","3889"
"Somerset County Library","3923"
"Spring Township Library","3977"
"Dingman Township Library","3992"
"RACC","4055"
"Huntingdon County Library","4087"
"Trone Memorial Library (East Berlin)","4114"
"Mary S. Biesecker Main Library","4208"
"Fleetwood Area Public Library","4219"
"Coudersport Public Library","4435"
"Taylor Community Library","4493"
"Kutztown Community Library","4666"
"Carbondale Public Library","4806"
"Whitehall Township Public Library","4817"
"Degenstein Community Library","4825"
"Lackawanna County Children's Library","4880"
"Juniata County Library","4953"
"Mason-Dixon Public Library","5040"
"Easton Palmer Branch","5114"
"Village Library","5243"
"Hollidaysburg Area Public Library","5313"
"Muhlenberg Community Library","5374"
"Wyomissing Public Library","5874"
"Annie Halenbake Ross Library","6005"
"Mifflin Community Library","6326"
"North Pocono Public Library","6355"
"Western Pocono Community Library","6564"
"Glatfelter Memorial Library","6683"
"Pottsville Free Public Library","6971"
"Tunkhannock Public Library","7160"
"Lansdale Public Library","7221"
"Valley Community Library","7234"
"Emmaus Public Library","7510"
"Alexander Hamilton Memorial Free Library","7571"
"Southern Lehigh Public Library","7575"
"Wayne County Public Library","7718"
"North Wales Area Library","7926"
"Dillsburg Area Public Library","8024"
"Northampton Area Public Library","8178"
"Milford Library","8259"
"Kreutz Creek Valley Library","8561"
"Paul Smith Library of Southern York County","8563"
"Red Land Community Library","8579"
"Memorial Library of Nazareth and Vicinity","8892"
"Easton Main Library","10236"
"Lower Macungie Library","10241"
"Abington Community Library","10614"
"Boyertown Community Library","10883"
"Gettysburg Library","10961"
"Reading Public Library RPL - Main","11739"
"Exeter Community Library","12069"
"Dover Area Community Library","13126"
"Altoona Area Public Library","15237"
"Kaltreider-Benfer Library","15312"
"Cambria County Library","15568"
"New Castle Public Library","15632"
"Parkland Community Library","15675"
"Ellwood City Area Public Library","16230"
"Albright Memorial Library","17246"
"Indian Valley Public Library","20137"
"Hughes Library","21067"
"Guthrie Memorial Library: Hanover's Public Library","21252"
"Bethlehem Main Library","25157"
"Martin Library","34719"
"Allentown Public Library","40688"
