Name,Circulation Modifier,Shelving Location Group,Circ ID
Abington Community Library,Music,SPARK Juv,2
Abington Community Library,Media,SPARK Juv,102
Abington Community Library,DVD Nonfiction,SPARK Juv,164
Abington Community Library,Kit,SPARK Juv,424
Abington Community Library,Audiobook,SPARK Juv,3175
Abington Community Library,DVD,SPARK Juv,4145
Abington Community Library,Book,SPARK Juv,100949
AccessPA NCIP Library,High Demand Books,SPARK Juv,1
AccessPA NCIP Library,Kit,SPARK Juv,3
AccessPA NCIP Library,DVD,SPARK Juv,19
AccessPA NCIP Library,Audiobook,SPARK Juv,23
AccessPA NCIP Library,Book,SPARK Juv,381
Albright Memorial Library,DVD-R,SPARK Juv,1
Albright Memorial Library,Noncirculating,SPARK Juv,1
Albright Memorial Library,Media,SPARK Juv,5
Albright Memorial Library,Software,SPARK Juv,5
Albright Memorial Library,Kit,SPARK Juv,7
Albright Memorial Library,DVD Nonfiction,SPARK Juv,21
Albright Memorial Library,Audiobook,SPARK Juv,169
Albright Memorial Library,DVD,SPARK Juv,303
Albright Memorial Library,Book,SPARK Juv,2787
Alexander Hamilton Memorial Free Library,Book Club Kit,SPARK Juv,2
Alexander Hamilton Memorial Free Library,Software,SPARK Juv,4
Alexander Hamilton Memorial Free Library,Media,SPARK Juv,5
Alexander Hamilton Memorial Free Library,Kit,SPARK Juv,10
Alexander Hamilton Memorial Free Library,Electronic Device,SPARK Juv,23
Alexander Hamilton Memorial Free Library,Serial,SPARK Juv,35
Alexander Hamilton Memorial Free Library,DVD,SPARK Juv,63
Alexander Hamilton Memorial Free Library,Audiobook,SPARK Juv,95
Alexander Hamilton Memorial Free Library,Realia,SPARK Juv,124
Alexander Hamilton Memorial Free Library,Video,SPARK Juv,598
Alexander Hamilton Memorial Free Library,Book,SPARK Juv,16741
Allentown Public Library,DVD-R,SPARK Juv,1
Allentown Public Library,High Demand Audiobooks,SPARK Juv,1
Allentown Public Library,,SPARK Juv,1
Allentown Public Library,Kit,SPARK Juv,2
Allentown Public Library,Serial,SPARK Juv,2
Allentown Public Library,Noncirculating,SPARK Juv,6
Allentown Public Library,Software,SPARK Juv,7
Allentown Public Library,Music,SPARK Juv,17
Allentown Public Library,High Demand DVD and Blurays,SPARK Juv,39
Allentown Public Library,DVD Nonfiction,SPARK Juv,51
Allentown Public Library,High Demand Books,SPARK Juv,207
Allentown Public Library,Audiobook,SPARK Juv,287
Allentown Public Library,Media,SPARK Juv,433
Allentown Public Library,DVD,SPARK Juv,2339
Allentown Public Library,Book,SPARK Juv,54320
Altoona Area Public Library,High Demand Books,SPARK Juv,2
Altoona Area Public Library,Noncirculating,SPARK Juv,3
Altoona Area Public Library,Realia,SPARK Juv,8
Altoona Area Public Library,Music,SPARK Juv,23
Altoona Area Public Library,Media,SPARK Juv,31
Altoona Area Public Library,DVD Nonfiction,SPARK Juv,85
Altoona Area Public Library,Kit,SPARK Juv,293
Altoona Area Public Library,Audiobook,SPARK Juv,1398
Altoona Area Public Library,DVD,SPARK Juv,3018
Altoona Area Public Library,Book,SPARK Juv,37854
Annie Halenbake Ross Library,Noncirculating,SPARK Juv,6
Annie Halenbake Ross Library,Kit,SPARK Juv,259
Annie Halenbake Ross Library,Audiobook,SPARK Juv,586
Annie Halenbake Ross Library,DVD,SPARK Juv,633
Annie Halenbake Ross Library,Book,SPARK Juv,13027
Arthur Hufnagel Public Library,Kit,SPARK Juv,3
Arthur Hufnagel Public Library,DVD,SPARK Juv,4
Arthur Hufnagel Public Library,Audiobook,SPARK Juv,29
Arthur Hufnagel Public Library,High Demand Books,SPARK Juv,98
Arthur Hufnagel Public Library,Book,SPARK Juv,1771
Ashland Public Library,Audiobook,SPARK Juv,4
Ashland Public Library,Book,SPARK Juv,995
BCPL - Headquarters,Software,SPARK Juv,2
BCPL - Headquarters,Kit,SPARK Juv,3
BCPL - Headquarters,DVD,SPARK Juv,12
BCPL - Headquarters,Book,SPARK Juv,243
Bangor Public Library,,SPARK Juv,1
Bangor Public Library,DVD,SPARK Juv,4
Bangor Public Library,Audiobook,SPARK Juv,10
