Circulating Library,Destination Library,Transit ID
Abington Community Library,Abington Community Library,565
Abington Community Library,AccessPA NCIP Library,140
Abington Community Library,Albright Memorial Library,1760
Abington Community Library,Altoona Area Public Library,190
Abington Community Library,Beaverdale Public Library,9
Abington Community Library,Bellwood-Antis Public Library,10
Abington Community Library,Bethany Public Library,8
Abington Community Library,Cambria County Library,143
Abington Community Library,Carbondale Public Library,415
Abington Community Library,Carrolltown Public Library,11
Abington Community Library,Claysburg Area Public Library,3
Abington Community Library,Cresson Public Library,4
Abington Community Library,Dalton Community Library,335
Abington Community Library,Dingman Township Library,121
Abington Community Library,Ebensburg Public Library,28
Abington Community Library,Forest City,40
Abington Community Library,Gallitzin Public Library,1
Abington Community Library,Hallstead - Great Bend,147
Abington Community Library,Hamlin Library,40
Abington Community Library,Hastings Public Library,3
Abington Community Library,Hawley Public Library,89
Abington Community Library,Highland Community Library,70
Abington Community Library,Hollidaysburg Area Public Library,75
Abington Community Library,Home Delivery,163
Abington Community Library,Lackawanna County Children's Library,478
Abington Community Library,Lackawanna County Tech Services,1
Abington Community Library,Lilly Washington Public Library,8
Abington Community Library,Martinsburg Community Library,52
Abington Community Library,Milford Library,404
Abington Community Library,Montrose,154
Abington Community Library,Nancy Kay Holmes Branch Library,420
Abington Community Library,Nanty Glo Public Library,14
Abington Community Library,Newfoundland Area Library,43
Abington Community Library,North Pocono Public Library,1040
Abington Community Library,Northern Cambria Public Library,7
Abington Community Library,Northern Wayne Community Library,13
Abington Community Library,Patton Public Library,3
Abington Community Library,Pleasant Mount Library,24
Abington Community Library,Portage Public Library,21
Abington Community Library,Roaring Spring Community Library,22
Abington Community Library,South Fork Public Library,1
Abington Community Library,Susquehanna,66
Abington Community Library,Taylor Community Library,523
Abington Community Library,Tunkhannock Public Library,293
Abington Community Library,Tyrone-Snyder Public Library,48
Abington Community Library,Valley Community Library,921
Abington Community Library,Wayne County Public Library,225
Abington Community Library,Williamsburg Public Library,5
AccessPA NCIP Library,Abington Community Library,71
AccessPA NCIP Library,Adams County Library System,12
AccessPA NCIP Library,Albright Memorial Library,53
AccessPA NCIP Library,Carbondale Public Library,43
AccessPA NCIP Library,Carroll Valley Library,265
AccessPA NCIP Library,Dalton Community Library,62
AccessPA NCIP Library,Dingman Township Library,199
AccessPA NCIP Library,Harbaugh-Thomas Library (Biglerville),310
AccessPA NCIP Library,Home Delivery,90
AccessPA NCIP Library,Indian Valley Public Library,1
AccessPA NCIP Library,Lackawanna County Children's Library,9
AccessPA NCIP Library,Littlestown Library,479
AccessPA NCIP Library,Milford Library,10
AccessPA NCIP Library,Nancy Kay Holmes Branch Library,126
AccessPA NCIP Library,New Oxford Library,368
AccessPA NCIP Library,North Pocono Public Library,100
AccessPA NCIP Library,North Wales Area Library,3
AccessPA NCIP Library,Taylor Community Library,61
AccessPA NCIP Library,Trone Memorial Library (East Berlin),557
AccessPA NCIP Library,Valley Community Library,89
Albright Memorial Library,Abington Community Library,4904
Albright Memorial Library,AccessPA NCIP Library,643
Albright Memorial Library,Albright Memorial Library,3490
Albright Memorial Library,Altoona Area Public Library,472
Albright Memorial Library,Beaverdale Public Library,30
Albright Memorial Library,Bellwood-Antis Public Library,60
Albright Memorial Library,Bethany Public Library,16
Albright Memorial Library,Cambria County Library,390
Albright Memorial Library,Carbondale Public Library,1652
Albright Memorial Library,Carrolltown Public Library,20
Albright Memorial Library,Claysburg Area Public Library,29
Albright Memorial Library,Cresson Public Library,27
Albright Memorial Library,Dalton Community Library,1169
Albright Memorial Library,Dingman Township Library,252
Albright Memorial Library,Ebensburg Public Library,78
Albright Memorial Library,Forest City,77
Albright Memorial Library,Gallitzin Public Library,7
Albright Memorial Library,Hallstead - Great Bend,233
Albright Memorial Library,Hamlin Library,82
Albright Memorial Library,Hastings Public Library,1
Albright Memorial Library,Hawley Public Library,189
Albright Memorial Library,Highland Community Library,238
Albright Memorial Library,Hollidaysburg Area Public Library,221
Albright Memorial Library,Home Delivery,600
Albright Memorial Library,Lackawanna County Children's Library,354
Albright Memorial Library,Lackawanna County Library System Bookmobile,2
Albright Memorial Library,Lackawanna County Tech Services,43
