"Destination Library","Circulating Sending Library Name","Transit ID"
"Abington Community Library","Abington Community Library","565"
"Abington Community Library","AccessPA NCIP Library","71"
"Abington Community Library","Albright Memorial Library","4904"
"Abington Community Library","Altoona Area Public Library","303"
"Abington Community Library","Beaverdale Public Library","22"
"Abington Community Library","Bellwood-Antis Public Library","27"
"Abington Community Library","Bethany Public Library","19"
"Abington Community Library","Cambria County Library","427"
"Abington Community Library","Carbondale Public Library","770"
"Abington Community Library","Carrolltown Public Library","29"
"Abington Community Library","Claysburg Area Public Library","30"
"Abington Community Library","Cresson Public Library","12"
"Abington Community Library","Dalton Community Library","317"
"Abington Community Library","Dingman Township Library","77"
"Abington Community Library","Ebensburg Public Library","57"
"Abington Community Library","Forest City","52"
"Abington Community Library","Gallitzin Public Library","30"
"Abington Community Library","Hallstead - Great Bend","46"
"Abington Community Library","Hamlin Library","66"
"Abington Community Library","Hastings Public Library","29"
"Abington Community Library","Hawley Public Library","46"
"Abington Community Library","Highland Community Library","97"
"Abington Community Library","Hollidaysburg Area Public Library","84"
"Abington Community Library","Lackawanna County Children's Library","1047"
"Abington Community Library","Lackawanna County Library System Bookmobile","1"
"Abington Community Library","Lilly Washington Public Library","32"
"Abington Community Library","Martinsburg Community Library","73"
"Abington Community Library","Milford Library","83"
"Abington Community Library","Montrose","226"
"Abington Community Library","Nancy Kay Holmes Branch Library","477"
"Abington Community Library","Nanty Glo Public Library","30"
"Abington Community Library","Newfoundland Area Library","28"
"Abington Community Library","North Pocono Public Library","928"
"Abington Community Library","Northern Cambria Public Library","19"
"Abington Community Library","Northern Wayne Community Library","29"
"Abington Community Library","Patton Public Library","30"
"Abington Community Library","Pleasant Mount Library","17"
"Abington Community Library","Portage Public Library","63"
"Abington Community Library","Roaring Spring Community Library","41"
"Abington Community Library","South Fork Public Library","11"
"Abington Community Library","Susquehanna","65"
"Abington Community Library","Taylor Community Library","1451"
"Abington Community Library","Tunkhannock Public Library","245"
"Abington Community Library","Tyrone-Snyder Public Library","75"
"Abington Community Library","Valley Community Library","1310"
"Abington Community Library","Wayne County Public Library","80"
"Abington Community Library","Williamsburg Public Library","40"
"AccessPA NCIP Library","Abington Community Library","140"
"AccessPA NCIP Library","Albright Memorial Library","643"
"AccessPA NCIP Library","Carbondale Public Library","68"
"AccessPA NCIP Library","Carroll Valley Library","47"
"AccessPA NCIP Library","Dalton Community Library","24"
"AccessPA NCIP Library","Dingman Township Library","61"
"AccessPA NCIP Library","Forest City","1"
"AccessPA NCIP Library","Gettysburg Library","424"
"AccessPA NCIP Library","Hamlin Library","1"
"AccessPA NCIP Library","Harbaugh-Thomas Library (Biglerville)","148"
"AccessPA NCIP Library","Hollidaysburg Area Public Library","93"
"AccessPA NCIP Library","Indian Valley Public Library","780"
"AccessPA NCIP Library","Lackawanna County Children's Library","8"
"AccessPA NCIP Library","Littlestown Library","64"
"AccessPA NCIP Library","Milford Library","188"
"AccessPA NCIP Library","Nancy Kay Holmes Branch Library","17"
"AccessPA NCIP Library","New Oxford Library","53"
"AccessPA NCIP Library","North Pocono Public Library","48"
"AccessPA NCIP Library","North Wales Area Library","237"
"AccessPA NCIP Library","Taylor Community Library","124"
"AccessPA NCIP Library","Trone Memorial Library (East Berlin)","97"
"AccessPA NCIP Library","Valley Community Library","123"
"Adams County Library System","AccessPA NCIP Library","12"
"Albright Memorial Library","Abington Community Library","1760"
"Albright Memorial Library","AccessPA NCIP Library","53"
"Albright Memorial Library","Albright Memorial Library","3490"
"Albright Memorial Library","Altoona Area Public Library","391"
"Albright Memorial Library","Beaverdale Public Library","14"
"Albright Memorial Library","Bellwood-Antis Public Library","24"
"Albright Memorial Library","Bethany Public Library","13"
"Albright Memorial Library","Cambria County Library","666"
"Albright Memorial Library","Carbondale Public Library","674"
"Albright Memorial Library","Carrolltown Public Library","6"
"Albright Memorial Library","Claysburg Area Public Library","35"
"Albright Memorial Library","Cresson Public Library","5"
"Albright Memorial Library","Dalton Community Library","424"
"Albright Memorial Library","Dingman Township Library","69"
"Albright Memorial Library","Ebensburg Public Library","43"
"Albright Memorial Library","Forest City","46"
"Albright Memorial Library","Gallitzin Public Library","32"
"Albright Memorial Library","Hallstead - Great Bend","36"
"Albright Memorial Library","Hamlin Library","38"
"Albright Memorial Library","Hastings Public Library","16"
"Albright Memorial Library","Hawley Public Library","42"
"Albright Memorial Library","Highland Community Library","103"
"Albright Memorial Library","Hollidaysburg Area Public Library","68"
"Albright Memorial Library","Lackawanna County Children's Library","162"
"Albright Memorial Library","Lackawanna County Library System Bookmobile","1"
"Albright Memorial Library","Lilly Washington Public Library","16"
"Albright Memorial Library","Martinsburg Community Library","34"
"Albright Memorial Library","Milford Library","103"
"Albright Memorial Library","Montrose","131"
"Albright Memorial Library","Nancy Kay Holmes Branch Library","346"
"Albright Memorial Library","Nanty Glo Public Library","24"
"Albright Memorial Library","Newfoundland Area Library","17"
"Albright Memorial Library","North Pocono Public Library","791"
"Albright Memorial Library","Northern Cambria Public Library","25"
"Albright Memorial Library","Northern Wayne Community Library","11"
"Albright Memorial Library","Patton Public Library","27"
"Albright Memorial Library","Pleasant Mount Library","9"
"Albright Memorial Library","Portage Public Library","50"
"Albright Memorial Library","Roaring Spring Community Library","23"
"Albright Memorial Library","South Fork Public Library","11"
"Albright Memorial Library","Susquehanna","53"
"Albright Memorial Library","Taylor Community Library","1206"
"Albright Memorial Library","Tunkhannock Public Library","161"
"Albright Memorial Library","Tyrone-Snyder Public Library","31"
"Albright Memorial Library","Valley Community Library","1500"
"Albright Memorial Library","Wayne County Public Library","86"
"Albright Memorial Library","Williamsburg Public Library","32"
"Allentown Public Library","Allentown Public Library","132"
"Allentown Public Library","Bangor Public Library","78"
