Check Out Library Name,Circulation Modifier,Circulation
Clearfield County Public Library,Audiobook,1
Home Delivery,Audiobook,1
Hyndman-Londonderry Public Library,Audiobook,1
Mahanoy City Public Library,Audiobook,1
Monroe County Correctional Facility,Audiobook,1
Lackawanna County Library System Bookmobile,Book,1
Abington Community Library,Book Club Kit,1
Beaverdale Public Library,Book Club Kit,1
Bethlehem South Side Branch,Book Club Kit,1
Collinsville Community Library,Book Club Kit,1
Conemaugh Township Branch,Book Club Kit,1
Dalton Community Library,Book Club Kit,1
Degenstein Community Library,Book Club Kit,1
Everett Free Library,Book Club Kit,1
Frackville Free Public Library,Book Club Kit,1
Highland Community Library,Book Club Kit,1
Lehighton Area Memorial Library,Book Club Kit,1
Paul Smith Library of Southern York County,Book Club Kit,1
Pocono Mountain Public Library,Book Club Kit,1
Springettsbury Township,Book Club Kit,1
Arthur Hufnagel Public Library,DVD Nonfiction,1
Bangor Public Library,DVD Nonfiction,1
Barrett Paradise Friendly Library,DVD Nonfiction,1
Mansfield Free Public Library,DVD Nonfiction,1
RACC,DVD Nonfiction,1
Shenandoah Area Free Public Library,DVD Nonfiction,1
Bethany Public Library,DVD-R,1
Ebensburg Public Library,DVD-R,1
Genesee Area Library,DVD-R,1
Hamlin Library,DVD-R,1
Monroe County Bookmobile,DVD-R,1
Nanty Glo Public Library,DVD-R,1
North Wales Area Library,DVD-R,1
Tyrone-Snyder Public Library,DVD-R,1
Easton Palmer Branch,Electronic Device,1
Claysburg Area Public Library,Equipment,1
Clymer Library,Equipment,1
Monroe County Bookmobile,Equipment,1
Sinking Spring Library,Equipment,1
Southern Lehigh Public Library,Equipment,1
Western Pocono Community Library,Equipment,1
Womelsdorf Community Library,Equipment,1
Wyomissing Public Library,Equipment,1
Bethel Tulpehocken Public Library,Government Document,1
Mifflin Community Library,Government Document,1
Spring Township Library,Government Document,1
Village Library of Morgantown,Government Document,1
Wernersville Public Library,Government Document,1
West Lawn-Wyomissing Hills Library,Government Document,1
Allentown Public Library,High Demand Audiobooks,1
Northern Wayne Community Library,High Demand Audiobooks,1
Albright Memorial Library,High Demand Books,1
Bangor Public Library,High Demand Books,1
Federated Library System of Bedford County Outreach,High Demand Books,1
Hallstead - Great Bend,High Demand Books,1
Taylor Community Library,High Demand Books,1
Valley Community Library,High Demand Books,1
York Literacy Institute,High Demand Books,1
Bethlehem Bookmobile,High Demand DVD and Blurays,1
Green Free Library (Wellsboro),High Demand DVD and Blurays,1
Red Land Community Library,High Demand DVD and Blurays,1
Springettsbury Township,High Demand DVD and Blurays,1
Windber Public Library,High Demand DVD and Blurays,1
Bedford County Library,High Demand DVD-R,1
Hamburg Public Library,High Demand DVD-R,1
Mansfield Free Public Library,High Demand DVD-R,1
Boone Area Library,ILL,1
RPL - Northeast Branch,ILL,1
RPL - Senior Outreach,ILL,1
Ashland Public Library,Kit,1
Bangor Public Library,Kit,1
Bethlehem Fountain Hill Satellite,Kit,1
Dillsburg Area Public Library,Kit,1
Dimmick Main Library,Kit,1
Lehighton Area Memorial Library,Kit,1
Pocono Mountain Public Library,Kit,1
Smithfield Branch,Kit,1
Ulysses Library Association,Kit,1
Westfield Public Library,Kit,1
Blossburg Memorial Library,Media,1
Coplay Public Library,Media,1
Elkland Area Community Library,Media,1
Gallitzin Public Library,Media,1
Palmerton Area Library,Media,1
Wayne County Public Library,Media,1
York Academy Regional Charter School- Lower School ,Media,1
Bethlehem Bookmobile,Music,1
Bethlehem Coolidge Branch,Music,1
Newfoundland Area Library,Music,1
North Pocono Public Library,Music,1
Tunkhannock Public Library,Music,1
Arthur Hufnagel Public Library,Noncirculating,1
Bangor Public Library,Noncirculating,1
Barrett Paradise Friendly Library,Noncirculating,1
Bellwood-Antis Public Library,Noncirculating,1
Blossburg Memorial Library,Noncirculating,1
Carroll Valley Library,Noncirculating,1
Claysburg Area Public Library,Noncirculating,1
Clymer Library,Noncirculating,1
Collinsville Community Library,Noncirculating,1
Elkland Area Community Library,Noncirculating,1
Hamlin Library,Noncirculating,1
Harbaugh-Thomas Library (Biglerville),Noncirculating,1
Hyndman-Londonderry Public Library,Noncirculating,1
Kreutz Creek Valley Library,Noncirculating,1
Lehighton Area Memorial Library,Noncirculating,1
Mansfield Free Public Library,Noncirculating,1
Martinsburg Community Library,Noncirculating,1
Mason-Dixon Public Library,Noncirculating,1
Muhlenberg Community Library,Noncirculating,1
Nancy Kay Holmes Branch Library,Noncirculating,1
Oswayo Valley Memorial Library,Noncirculating,1
Susquehanna,Noncirculating,1
Village Library,Noncirculating,1
Western Pocono Community Library,Noncirculating,1
York Academy Regional Charter School- Lower School ,Noncirculating,1
Carroll Valley Library,Realia,1
Galeton Public Library,Realia,1
Tamaqua Public Library,Realia,1
Windber Public Library,Realia,1
Galeton Public Library,Serial,1
Lehighton Area Memorial Library,Serial,1
Ralpho Township Public Library,Serial,1
Tyrone-Snyder Public Library,Software,1
Abington Community Library,Unknown,1
FD Campbell Memorial Library,Unknown,1
Mahanoy City Public Library,Unknown,1
Ralpho Township Public Library,Unknown,1
Trone Memorial Library (East Berlin),Unknown,1
Cambria County Library,Video,1
Easton Main Library,Video,1
Lower Macungie Library,Video,1
Palmerton Area Library,Video,1
Pottsville Free Public Library,Video,1
Public Library of Catasauqua,Video,1
Cambria County Library,,1
Collinsville Community Library,,1
Ellwood City Area Public Library,,1
Hastings Public Library,,1
Hollidaysburg Area Public Library,,1
Lincoln Charter School,,1
Monroe County Bookmobile,,1
Port Carbon Public Library,,1
Springettsbury Township,,1
Womelsdorf Community Library,,1
Gallitzin Public Library,Audiobook,2
Shenandoah Area Free Public Library,Audiobook,2
Alexander Hamilton Memorial Free Library,Book Club Kit,2
Altoona Area Public Library,Book Club Kit,2
Arthur Hufnagel Public Library,Book Club Kit,2
Clearfield County Public Library,Book Club Kit,2
Dimmick Main Library,Book Club Kit,2
Green Free Library (Wellsboro),Book Club Kit,2
Hastings Public Library,Book Club Kit,2
Mason-Dixon Public Library,Book Club Kit,2
Nanty Glo Public Library,Book Club Kit,2
Saxton Community Library,Book Club Kit,2
Williamsburg Public Library,Book Club Kit,2
Northampton Area Public Library,DVD,2
Harbaugh-Thomas Library (Biglerville),DVD Nonfiction,2
Northern Cambria Public Library,DVD Nonfiction,2
